symbol,yahoo_symbol,asset_name,market,asset_type,country
049080,049080.KQ,기가레인,KOSDAQ,STOCK,KR
049120,049120.KQ,파인디앤씨,KOSDAQ,STOCK,KR
049180,049180.KQ,셀루메드,KOSDAQ,STOCK,KR
049430,049430.KQ,코메론,KOSDAQ,STOCK,KR
049470,049470.KQ,비트플래닛,KOSDAQ,STOCK,KR
049480,049480.KQ,오픈베이스,KOSDAQ,STOCK,KR
049520,049520.KQ,유아이엘,KOSDAQ,STOCK,KR
049550,049550.KQ,잉크테크,KOSDAQ,STOCK,KR
049630,049630.KQ,재영솔루텍,KOSDAQ,STOCK,KR
049720,049720.KQ,고려신용정보,KOSDAQ,STOCK,KR
049830,049830.KQ,승일,KOSDAQ,STOCK,KR
049950,049950.KQ,미래컴퍼니,KOSDAQ,STOCK,KR
049960,049960.KQ,쎌바이오텍,KOSDAQ,STOCK,KR
